id;street_address;street_number;flat_number;safe_zone;country;zip_code;city;province;department
1;mobile Fish;77969;59865;true;Cape Verde;10048;New Bryon;deposit Tasty Metal Bacon Implementation;Chips
2;Money Market Account;61165;52475;false;Italy;25631;West Wayneborough;Common;Savings Account syndicate Planner
3;Refined Rubber Chicken Table;6505;1326;true;United Kingdom;58330-0262;New Bonita;Buckinghamshire Games;incentivize Tuna copy
4;Costa Rica Mayotte;18485;3131;true;Sudan;49389-5793;South Cleveport;Tactics;scale interactive generating
5;Specialist Home Loan Account;27599;14092;false;Sierra Leone;00947;East Eldora;Jewelery;monitor
6;1080p Checking Account Identity;65107;11586;true;Switzerland;64300-3363;Montestad;tangible Mississippi;Frozen bus
7;hard drive Robust Networked;4043;52273;true;Israel;04120;Nicolasport;Montana;Corporate Phased relationships
8;white Brand Money Market Account;69478;16122;true;Uganda;82618-4821;Port Shaun;projection Fresh;support Gorgeous
9;withdrawal;52;81801;false;Switzerland;01554;East Mathilde;encompassing;Directives
10;sky blue;55810;70301;false;Guinea;92922;Jerrychester;Plastic;Computers Personal Loan Account Berkshire
